deficiency_code,annotation_severity,InspectionDate,PortId,VesselGroup,age,deficiency_finding,description_overview,immediate_causes,root_cause_analysis,corrective_action,preventive_action,detainable_deficiency
1337,Low,2023-10-24,1119,Dry Bulk,6.809034907597536,There is a copy of a certificate of financial security on the board.,"In the crew mess room, it was observed that the certificates were not pasted.",There are human factors.,There was a human error when the copy was posted in the crew mess room.,"In the presence of the PSCO, copies of Regulation 2.5 and 4.2 were taken and 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611",Learning will be sent to all vessels in the form of Safety Bulletin-Monthly findings list.,No
4113,Medium,2024-02-06,5444,Dry Bulk,9.516769336071183,The audible alarm did not work during the test of the water system in the store.,There was no evidence that ACM had been removed from the vessel.,Instructions for correction were given and the deficiency was fixed on-site during the inspection.,"The audible alarm failed to operate during the test, but the visual alarm gave a proper signal.",The inspector cleared the deficiency after the audio signal was re-instated and evidence provided.,"Instructions for the verification of the wiring arrangement of the alarm panel, as well as the operability of both visual/audio alarm, will be included in a safety directive.",No
15108,Medium,2022-12-29,813,Dry Bulk,5.905544147843942,There is no documentation that shows how long the rest days are.,"On the voyage from Krishnapatnam to San Lorenzo, the ship staff was involved in hold cleaning.",The Chief Officer and the Deck Officers are responsible for making sure the deck scuppers are plugged and secured.,The staff of the ship missed out on the number of days the crew member was rested after the accident.,"After seeing the PSCO observation, the number of days the AB was off-duty was entered in the accident report.","The human elements were briefed to include all details in the accident and incident forms, review and confirm that all details are captured prior to closing the report.",No
18312,Medium,2023-03-06,2727,Dry Bulk,0.1752224503764544,There was no hand washing arrangement in the galley.,The depth of the echo sounder is fed into the ECDIS for continuous recording.,There are human factors.,"The guideline states that towels, soap and toilet paper should be provided by the ship's owner, but not the paper towel.",Place a paper towel in front of you to wash your hands.,The company sent the required paperwork to confirm the paper towel in the galley.,No
18413,Low,2024-04-05,223,Dry Bulk,7.096509240246407,There are warning notices.,Some frame markings from F70 to F80 are not in the same color.,There are human factors.,There are human factors.,"The frame numbers 70, 75 and 80 are painted on the port side main deck.",The vessel manager briefed the entire ship staff to make sure that the markings on the vessel are refreshed and painted in contrasting colors after carrying out maintenance work.,No
1136,Low,2023-01-03,1459,General Cargo,13.00479123887748,The IBWM-certificate states that the water management methods used on the vessel are in line with the regulations.,The action was taken 17 October.,"There was no flow of sludge observed due to malfunctioning of solenoid valve which allows air for sludge to return in both ""auto"" and ""manual"" mode Immediate Cause - Substandard Conditions",The certificate was issued at Istanbul/Turkey on the 1 April 2020 and Annually surveyed and signed by Imed Houas.,A new IBWM-Certificate reflecting only regulation D-2 was sent on board.,Special reference was made to the importance of proper handling and examination of ship's certification in the training session carried out by Master and Chief Engineer.,No
9236,Medium,2023-12-15,2113,Ro-Ro,15.285420944558522,There was no information on the engine logbook.,"Lifejackets as part of the vessel's LSA / safety equipment are being checked and maintained on a monthly basis following the company's SMS/PMS interval requirements and in accordance with SOLAS, LSA Code, makers and Flag Administration's requirements.",There was no immediate corrective action requested or taken.,He proceeds for another task after the maintenance instead of making all necessary records.,The records in the Engine logbook were immediately updated by the officer-in-charge.,The importance of record keeping and prioritization of completing the task before taking to another task shall be observed diligently.,No
1330,Low,2022-07-11,1439,Dry Bulk,2.7761806981519506,The onboard complain procedure states that a placard should be posted in the officers and crew messroom with contact information of the competent authority of the seafarer's country.,"The onboard complaint procedures don't specify contact information for the competent authority in the seafarers country of residence, and the name of a person or persons onboard the ship who can, on a confidential basis, provide seafarers with impartial advise on their complaint and otherwise assist them in following the compliant procedures available",Training/familiarization records were not presented during the inspection.,The complaint procedure was not read and understood by the officer.,The contact details of the designated crew member were posted immediately in Appendix 1 of the manual.,All crew members were trained on the complaint procedure.,No
10111,High,2022-11-13,3866,Dry Bulk,9.284052019164957,The actual voyage time was not matched by the voyage plan.,There is a smoke detection system for cargo holds.,Improper maintenance is one of the ImMEDIATE CAUSES.,Insufficient monitoring.,The correct route chart was used to revise the voyage plan.,The Marine manager will check out the deficiency on a sampling basis.,No
9222,Low,2023-12-28,1413,Dry Bulk,16.407939767282684,The crane hook safety latch is malfunctioning.,There is no power in the bottle that is used to operate the rescue boat crane.,Human physical constraints are caused by error.,The root cause of the deficiency is servicing.,The crane hook safety latch was immediately rectified to the satisfaction of the PSC inspectors.,The monthly safety committee meeting will include the participation of all officers and crew to discuss the deficiencies.,No
